day,product,complaint_type,count
2026-06-01,P-Alpha,app_crash,1
2026-06-01,P-Alpha,billing_error,1
2026-06-01,P-Alpha,damaged_item,3
2026-06-01,P-Alpha,delivery_delay,2
2026-06-01,P-Alpha,support_wait,3
2026-06-01,P-Beta,app_crash,4
2026-06-01,P-Beta,billing_error,1
2026-06-01,P-Beta,damaged_item,3
2026-06-01,P-Beta,delivery_delay,2
2026-06-01,P-Beta,support_wait,5
2026-06-01,P-Delta,app_crash,3
2026-06-01,P-Delta,billing_error,3
2026-06-01,P-Delta,damaged_item,4
2026-06-01,P-Delta,delivery_delay,2
2026-06-01,P-Delta,support_wait,5
2026-06-01,P-Gamma,app_crash,3
2026-06-01,P-Gamma,billing_error,2
2026-06-01,P-Gamma,damaged_item,2
2026-06-01,P-Gamma,delivery_delay,0
2026-06-01,P-Gamma,support_wait,2
2026-06-02,P-Alpha,app_crash,3
2026-06-02,P-Alpha,billing_error,1
2026-06-02,P-Alpha,damaged_item,3
2026-06-02,P-Alpha,delivery_delay,1
2026-06-02,P-Alpha,support_wait,4
2026-06-02,P-Beta,app_crash,3
2026-06-02,P-Beta,billing_error,2
2026-06-02,P-Beta,damaged_item,3
2026-06-02,P-Beta,delivery_delay,1
2026-06-02,P-Beta,support_wait,3
2026-06-02,P-Delta,app_crash,3
2026-06-02,P-Delta,billing_error,4
2026-06-02,P-Delta,damaged_item,2
2026-06-02,P-Delta,delivery_delay,1
2026-06-02,P-Delta,support_wait,4
2026-06-02,P-Gamma,app_crash,3
2026-06-02,P-Gamma,billing_error,2
2026-06-02,P-Gamma,damaged_item,2
2026-06-02,P-Gamma,delivery_delay,0
2026-06-02,P-Gamma,support_wait,4
2026-06-03,P-Alpha,app_crash,3
2026-06-03,P-Alpha,billing_error,2
2026-06-03,P-Alpha,damaged_item,5
2026-06-03,P-Alpha,delivery_delay,2
2026-06-03,P-Alpha,support_wait,3
2026-06-03,P-Beta,app_crash,3
2026-06-03,P-Beta,billing_error,3
2026-06-03,P-Beta,damaged_item,3
2026-06-03,P-Beta,delivery_delay,2
2026-06-03,P-Beta,support_wait,4
2026-06-03,P-Delta,app_crash,3
2026-06-03,P-Delta,billing_error,3
2026-06-03,P-Delta,damaged_item,3
2026-06-03,P-Delta,delivery_delay,1
2026-06-03,P-Delta,support_wait,5
2026-06-03,P-Gamma,app_crash,4
2026-06-03,P-Gamma,billing_error,0
2026-06-03,P-Gamma,damaged_item,1
2026-06-03,P-Gamma,delivery_delay,1
2026-06-03,P-Gamma,support_wait,2
2026-06-04,P-Alpha,app_crash,3
2026-06-04,P-Alpha,billing_error,1
2026-06-04,P-Alpha,damaged_item,3
2026-06-04,P-Alpha,delivery_delay,1
2026-06-04,P-Alpha,support_wait,4
2026-06-04,P-Beta,app_crash,3
2026-06-04,P-Beta,billing_error,2
2026-06-04,P-Beta,damaged_item,4
2026-06-04,P-Beta,delivery_delay,1
2026-06-04,P-Beta,support_wait,3
2026-06-04,P-Delta,app_crash,3
2026-06-04,P-Delta,billing_error,5
2026-06-04,P-Delta,damaged_item,2
2026-06-04,P-Delta,delivery_delay,3
2026-06-04,P-Delta,support_wait,5
2026-06-04,P-Gamma,app_crash,3
2026-06-04,P-Gamma,billing_error,2
2026-06-04,P-Gamma,damaged_item,2
2026-06-04,P-Gamma,delivery_delay,1
2026-06-04,P-Gamma,support_wait,3
2026-06-05,P-Alpha,app_crash,3
2026-06-05,P-Alpha,billing_error,0
2026-06-05,P-Alpha,damaged_item,3
2026-06-05,P-Alpha,delivery_delay,0
2026-06-05,P-Alpha,support_wait,4
2026-06-05,P-Beta,app_crash,4
2026-06-05,P-Beta,billing_error,2
2026-06-05,P-Beta,damaged_item,3
2026-06-05,P-Beta,delivery_delay,1
2026-06-05,P-Beta,support_wait,5
2026-06-05,P-Delta,app_crash,3
2026-06-05,P-Delta,billing_error,4
2026-06-05,P-Delta,damaged_item,3
2026-06-05,P-Delta,delivery_delay,2
2026-06-05,P-Delta,support_wait,5
2026-06-05,P-Gamma,app_crash,4
2026-06-05,P-Gamma,billing_error,2
2026-06-05,P-Gamma,damaged_item,3
2026-06-05,P-Gamma,delivery_delay,2
2026-06-05,P-Gamma,support_wait,2
2026-06-06,P-Alpha,app_crash,3
2026-06-06,P-Alpha,billing_error,1
2026-06-06,P-Alpha,damaged_item,4
2026-06-06,P-Alpha,delivery_delay,2
2026-06-06,P-Alpha,support_wait,4
2026-06-06,P-Beta,app_crash,2
2026-06-06,P-Beta,billing_error,3
2026-06-06,P-Beta,damaged_item,5
2026-06-06,P-Beta,delivery_delay,2
2026-06-06,P-Beta,support_wait,3
2026-06-06,P-Delta,app_crash,4
2026-06-06,P-Delta,billing_error,5
2026-06-06,P-Delta,damaged_item,4
2026-06-06,P-Delta,delivery_delay,3
2026-06-06,P-Delta,support_wait,4
2026-06-06,P-Gamma,app_crash,3
2026-06-06,P-Gamma,billing_error,1
2026-06-06,P-Gamma,damaged_item,2
2026-06-06,P-Gamma,delivery_delay,0
2026-06-06,P-Gamma,support_wait,3
2026-06-07,P-Alpha,app_crash,3
2026-06-07,P-Alpha,billing_error,0
2026-06-07,P-Alpha,damaged_item,3
2026-06-07,P-Alpha,delivery_delay,0
2026-06-07,P-Alpha,support_wait,4
2026-06-07,P-Beta,app_crash,4
2026-06-07,P-Beta,billing_error,1
2026-06-07,P-Beta,damaged_item,3
2026-06-07,P-Beta,delivery_delay,0
2026-06-07,P-Beta,support_wait,4
2026-06-07,P-Delta,app_crash,3
2026-06-07,P-Delta,billing_error,3
2026-06-07,P-Delta,damaged_item,4
2026-06-07,P-Delta,delivery_delay,1
2026-06-07,P-Delta,support_wait,3
2026-06-07,P-Gamma,app_crash,3
2026-06-07,P-Gamma,billing_error,0
2026-06-07,P-Gamma,damaged_item,3
2026-06-07,P-Gamma,delivery_delay,1
2026-06-07,P-Gamma,support_wait,4
2026-06-08,P-Alpha,app_crash,2
2026-06-08,P-Alpha,billing_error,1
2026-06-08,P-Alpha,damaged_item,4
2026-06-08,P-Alpha,delivery_delay,2
2026-06-08,P-Alpha,support_wait,4
2026-06-08,P-Beta,app_crash,3
2026-06-08,P-Beta,billing_error,2
2026-06-08,P-Beta,damaged_item,3
2026-06-08,P-Beta,delivery_delay,0
2026-06-08,P-Beta,support_wait,4
2026-06-08,P-Delta,app_crash,5
2026-06-08,P-Delta,billing_error,4
2026-06-08,P-Delta,damaged_item,2
2026-06-08,P-Delta,delivery_delay,3
2026-06-08,P-Delta,support_wait,5
2026-06-08,P-Gamma,app_crash,5
2026-06-08,P-Gamma,billing_error,1
2026-06-08,P-Gamma,damaged_item,1
