day,category,channel,device,revenue_krw
2026-06-01,all,ch000,dv000,100
2026-07-01,all,ch000,dv001,101
2026-06-01,all,ch000,dv002,102
2026-07-01,all,ch000,dv003,103
2026-06-01,all,ch000,dv004,104
2026-07-01,all,ch000,dv005,105
2026-06-01,all,ch000,dv006,106
2026-07-01,all,ch000,dv007,100
2026-06-01,all,ch000,dv008,101
2026-07-01,all,ch000,dv009,102
2026-06-01,all,ch000,dv010,103
2026-07-01,all,ch001,dv000,104
2026-06-01,all,ch001,dv001,105
2026-07-01,all,ch001,dv002,106
2026-06-01,all,ch001,dv003,100
2026-07-01,all,ch001,dv004,101
2026-06-01,all,ch001,dv005,102
2026-07-01,all,ch001,dv006,103
2026-06-01,all,ch001,dv007,104
2026-07-01,all,ch001,dv008,105
2026-06-01,all,ch001,dv009,106
2026-07-01,all,ch001,dv010,100
2026-06-01,all,ch002,dv000,101
2026-07-01,all,ch002,dv001,102
2026-06-01,all,ch002,dv002,103
2026-07-01,all,ch002,dv003,104
2026-06-01,all,ch002,dv004,105
2026-07-01,all,ch002,dv005,106
2026-06-01,all,ch002,dv006,100
2026-07-01,all,ch002,dv007,101
2026-06-01,all,ch002,dv008,102
2026-07-01,all,ch002,dv009,103
2026-06-01,all,ch002,dv010,104
2026-07-01,all,ch003,dv000,105
2026-06-01,all,ch003,dv001,106
2026-07-01,all,ch003,dv002,100
2026-06-01,all,ch003,dv003,101
2026-07-01,all,ch003,dv004,102
2026-06-01,all,ch003,dv005,103
2026-07-01,all,ch003,dv006,104
2026-06-01,all,ch003,dv007,105
2026-07-01,all,ch003,dv008,106
2026-06-01,all,ch003,dv009,100
2026-07-01,all,ch003,dv010,101
2026-06-01,all,ch004,dv000,102
2026-07-01,all,ch004,dv001,103
2026-06-01,all,ch004,dv002,104
2026-07-01,all,ch004,dv003,105
2026-06-01,all,ch004,dv004,106
2026-07-01,all,ch004,dv005,100
2026-06-01,all,ch004,dv006,101
2026-07-01,all,ch004,dv007,102
2026-06-01,all,ch004,dv008,103
2026-07-01,all,ch004,dv009,104
2026-06-01,all,ch004,dv010,105
2026-07-01,all,ch005,dv000,106
2026-06-01,all,ch005,dv001,100
2026-07-01,all,ch005,dv002,101
2026-06-01,all,ch005,dv003,102
2026-07-01,all,ch005,dv004,103
2026-06-01,all,ch005,dv005,104
2026-07-01,all,ch005,dv006,105
2026-06-01,all,ch005,dv007,106
2026-07-01,all,ch005,dv008,100
2026-06-01,all,ch005,dv009,101
2026-07-01,all,ch005,dv010,102
2026-06-01,all,ch006,dv000,103
2026-07-01,all,ch006,dv001,104
2026-06-01,all,ch006,dv002,105
2026-07-01,all,ch006,dv003,106
2026-06-01,all,ch006,dv004,100
2026-07-01,all,ch006,dv005,101
2026-06-01,all,ch006,dv006,102
2026-07-01,all,ch006,dv007,103
2026-06-01,all,ch006,dv008,104
2026-07-01,all,ch006,dv009,105
2026-06-01,all,ch006,dv010,106
2026-07-01,all,ch007,dv000,100
2026-06-01,all,ch007,dv001,101
2026-07-01,all,ch007,dv002,102
2026-06-01,all,ch007,dv003,103
2026-07-01,all,ch007,dv004,104
2026-06-01,all,ch007,dv005,105
2026-07-01,all,ch007,dv006,106
2026-06-01,all,ch007,dv007,100
2026-07-01,all,ch007,dv008,101
2026-06-01,all,ch007,dv009,102
2026-07-01,all,ch007,dv010,103
2026-06-01,all,ch008,dv000,104
2026-07-01,all,ch008,dv001,105
2026-06-01,all,ch008,dv002,106
2026-07-01,all,ch008,dv003,100
2026-06-01,all,ch008,dv004,101
2026-07-01,all,ch008,dv005,102
2026-06-01,all,ch008,dv006,103
2026-07-01,all,ch008,dv007,104
2026-06-01,all,ch008,dv008,105
2026-07-01,all,ch008,dv009,106
2026-06-01,all,ch008,dv010,100
2026-07-01,all,ch009,dv000,101
2026-06-01,all,ch009,dv001,102
2026-07-01,all,ch009,dv002,103
2026-06-01,all,ch009,dv003,104
2026-07-01,all,ch009,dv004,105
2026-06-01,all,ch009,dv005,106
2026-07-01,all,ch009,dv006,100
2026-06-01,all,ch009,dv007,101
2026-07-01,all,ch009,dv008,102
2026-06-01,all,ch009,dv009,103
2026-07-01,all,ch009,dv010,104
2026-06-01,all,ch010,dv000,105
2026-07-01,all,ch010,dv001,106
2026-06-01,all,ch010,dv002,100
2026-07-01,all,ch010,dv003,101
2026-06-01,all,ch010,dv004,102
2026-07-01,all,ch010,dv005,103
2026-06-01,all,ch010,dv006,104
2026-07-01,all,ch010,dv007,105
2026-06-01,all,ch010,dv008,106
2026-07-01,all,ch010,dv009,100
2026-06-01,all,ch010,dv010,101
2026-07-01,all,ch011,dv000,102
2026-06-01,all,ch011,dv001,103
2026-07-01,all,ch011,dv002,104
2026-06-01,all,ch011,dv003,105
2026-07-01,all,ch011,dv004,106
2026-06-01,all,ch011,dv005,100
2026-07-01,all,ch011,dv006,101
2026-06-01,all,ch011,dv007,102
2026-07-01,all,ch011,dv008,103
2026-06-01,all,ch011,dv009,104
2026-07-01,all,ch011,dv010,105
2026-06-01,all,ch012,dv000,106
