day,product,complaint_type,count
2026-06-01,Aurora,app_crash,1
2026-06-01,Aurora,delivery_delay,1
2026-06-01,Borealis,app_crash,1
2026-06-01,Borealis,delivery_delay,1
2026-06-02,Aurora,app_crash,1
2026-06-02,Aurora,delivery_delay,1
2026-06-02,Borealis,app_crash,1
2026-06-02,Borealis,delivery_delay,1
2026-06-03,Aurora,app_crash,1
2026-06-03,Aurora,delivery_delay,1
2026-06-03,Borealis,app_crash,1
2026-06-03,Borealis,delivery_delay,1
2026-06-04,Aurora,app_crash,1
2026-06-04,Aurora,delivery_delay,1
2026-06-04,Borealis,app_crash,1
2026-06-04,Borealis,delivery_delay,1
2026-06-05,Aurora,app_crash,1
2026-06-05,Aurora,delivery_delay,1
2026-06-05,Borealis,app_crash,1
2026-06-05,Borealis,delivery_delay,1
2026-06-06,Aurora,app_crash,1
2026-06-06,Aurora,delivery_delay,1
2026-06-06,Borealis,app_crash,1
2026-06-06,Borealis,delivery_delay,1
2026-06-07,Aurora,app_crash,1
2026-06-07,Aurora,delivery_delay,1
2026-06-07,Borealis,app_crash,1
2026-06-07,Borealis,delivery_delay,1
2026-07-01,Aurora,app_crash,1
2026-07-01,Aurora,delivery_delay,5
2026-07-01,Borealis,app_crash,1
2026-07-01,Borealis,delivery_delay,1
2026-07-02,Aurora,app_crash,1
2026-07-02,Aurora,delivery_delay,5
2026-07-02,Borealis,app_crash,1
2026-07-02,Borealis,delivery_delay,1
2026-07-03,Aurora,app_crash,1
2026-07-03,Aurora,delivery_delay,5
2026-07-03,Borealis,app_crash,1
2026-07-03,Borealis,delivery_delay,1
2026-07-04,Aurora,app_crash,1
2026-07-04,Aurora,delivery_delay,5
2026-07-04,Borealis,app_crash,1
2026-07-04,Borealis,delivery_delay,1
2026-07-05,Aurora,app_crash,1
2026-07-05,Aurora,delivery_delay,5
2026-07-05,Borealis,app_crash,1
2026-07-05,Borealis,delivery_delay,1
2026-07-06,Aurora,app_crash,1
2026-07-06,Aurora,delivery_delay,5
2026-07-06,Borealis,app_crash,1
2026-07-06,Borealis,delivery_delay,1
2026-07-07,Aurora,app_crash,1
2026-07-07,Aurora,delivery_delay,5
2026-07-07,Borealis,app_crash,1
2026-07-07,Borealis,delivery_delay,1
